uid,agency,bureau,name,stage,impact_status,description,topic_area,classification,vendor,contracting,withheld,operational_date,has_pii,demographic_features,justification,hi_assessment_completed,hi_testing_conducted,hi_potential_impacts,hi_independent_review,hi_ongoing_monitoring,hi_training_established,hi_failsafe_presence,hi_appeal_process,hi_public_consultation
DOC-70,DOC,Census,Natural Language Search for data.census.gov,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-71,DOC,Census,"ACES CAPEX (structures, equipment, other) Machine Learning",,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-2,DOC,FirstNet,FirstNet Authority Network Program Management Data Analytics Tool and Service,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-74,DOC,FirstNet,FirstNet Authority Communications Topaz Labs Photo Editing,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-75,DOC,ITA,Global Business Navigator Chatbot,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-76,DOC,ITA,Generative AI Tools Pilot - Global Markets,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-77,DOC,ITA,Generative AI Tools Pilot - Enterprise & Solutions Architecture,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-3,DOC,ITA,ChatGPT Enterprise,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-4,DOC,ITA,Google AgentSpace,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-6,DOC,ITA,"Amazon Web Services NLP, Classification, Text Mining",,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-7,DOC,ITA,"Google Public Sector NLP, Classification, Text Mining",,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-8,DOC,ITA,Google Colab and VertexAI,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-9,DOC,ITA,Anthropic - Claude For Government,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-11,DOC,NIST,Science Data Portal Autosuggest Search,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-82,DOC,NIST,Grammarly,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-10,DOC,NIST,LLM support for NIST research (Azure),,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-12,DOC,NIST,Library Market Research GenAI Tools Pilot,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-13,DOC,NIST,Google Gemini,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-14,DOC,NIST,LLM support for NIST research (NIST HPC),,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-15,DOC,NIST,LLM support for NIST research (Google Vertex),,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-16,DOC,NOAA,Community-based Messaging with LLM,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-17,DOC,NOAA,NWS Mutual Aid Coordination,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-18,DOC,NOAA,Draft Fronts for Surface Analysis,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-19,DOC,NOAA,Enhance LSR (Local Storm Report) Creation,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-20,DOC,NOAA,NWS Public Safety Language Translation,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-21,DOC,NOAA,Scientific Code Development Assistance,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-23,DOC,NOAA,Evaluate AI Models for Probabilistic Hurricane Predictions,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-24,DOC,NOAA,Evaluate AI for Forecasting Fronts,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-25,DOC,NOAA,AI-Driven Global Forecast Model and Ensemble,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-26,DOC,NOAA,AI-based Biased Correction and Downscaling for Weather Models,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-27,DOC,NOAA,Improving Accuracy of Physical-based Models,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-28,DOC,NOAA,Improve Background Error Modeling for JEDI,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-29,DOC,NOAA,Enhanced Precipitation Forecasting,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-30,DOC,NOAA,Ensemble Analysis to Identify Error Sources,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-31,DOC,NOAA,"Enhanced Fire Weather, Aviation, and Storm Surge Forecast Guidance",,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-32,DOC,NOAA,Enhanced Flood Risk and Impact Modeling,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-33,DOC,NOAA,Fisheries ESA Section 7 Biological Opinions and EFH Consultations,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-34,DOC,NOAA,Fisheries Global Seafood Data System (GSDS) Audit Support Application,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-35,DOC,NOAA,Optics Data Processing,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-36,DOC,NOAA,Electronic Monitoring,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-37,DOC,NOAA,Passive Acoustic Monitoring,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-38,DOC,NOAA,Active Acoustics,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-39,DOC,NOAA,OLE Looker,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-40,DOC,NOAA,Grants,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-41,DOC,NOAA,Streamlining Fisheries DevSecOps with Gemini Code Assist,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-42,DOC,NOAA,ENSO and Hurricane Outlooks using observed/analyzed fields,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-43,DOC,NOAA,Drought outlooks by using ML techniques,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-44,DOC,NOAA,NN/ML for OPC probabilistic guidance and GEFS-Waves,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-45,DOC,NOAA,ProbSR (probability of subfreezing roads,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-47,DOC,NOAA,AI/ML based atmospheric physics parameterizations for numerical weather prediction,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-48,DOC,NOAA,Detecting rip currents with coastal imagery,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-49,DOC,NOAA,AI QC of water level observations,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-50,DOC,NOAA,Flowcytobot imaging system data using ML,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-51,DOC,NOAA,HABScope,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-52,DOC,NOAA,IOOS Coastal Modeling Cloud Computing Sandbox,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-54,DOC,NOAA,Classifying communitity shifts with Self Organizing Maps,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-55,DOC,NOAA,Picky,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-72,DOC,NOAA,Structure from Motion photomosaic work in SE/Caribbean,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-73,DOC,NOAA,Utilizing Machine Learning for Coral Identification at Flower Garden Banks National Marine Sanctuary,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-81,DOC,NOAA,Improving the quality of NGS's GPS on Benchmarks with machine learning,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-22,DOC,NOAA,Coastal Change Analysis Program (C-CAP),,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-83,DOC,NOAA,"Supporting the Development of System Resilience Indicators for Wild Rice in Lake Superior, Lake Michigan, and Lake Huron",,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-85,DOC,NOAA,Great Lakes Coastal Assembly Coastal Wetland Conservation Framework,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-87,DOC,NOAA,Automated Post-Disaster Vessel and Debris Mapping from Remotely Sensed Imagery,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-89,DOC,NOAA,Machine Learning Collaboration Yields New Methods to Measure Shoreline Marine Debris,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-90,DOC,NOAA,Mussel Watch data management,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-91,DOC,NOAA,Ice seal detection and species classification in multispectral aerial imagery,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-92,DOC,NOAA,Edge AI survey payload development,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-93,DOC,NOAA,Steller sea lion automated count program,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-84,DOC,NOAA,Steller sea lion brand sighting,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-94,DOC,NOAA,Use of an Imaging Flow Cytobot for identification of phytoplankton and HABs in Alaska's Large Marine Ecosystems,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-95,DOC,NOAA,Automated classification of zooplankton images,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-96,DOC,NOAA,Acoustic and image-based habitat classification in the Gulf of Alaska using machine learning,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-98,DOC,NOAA,Automated detection and abundance estimation of salmon and pollock in Alaska's walleye pollock fishery,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-100,DOC,NOAA,Predicting annual market squid returns using machine learning methods,,unstated,,,,,,,,,[],,,,,,,,,,[]
